avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,SSD,is_workday
58.11,0,0,1,1,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
54.33,0,40,1,3,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
50.91,1,20,1,5,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
58.85,1,40,1,6,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
75.64,2,20,1,8,1013.2,341.0,3.5,21.1,68.0,0.0,63.98836985439331,1
44.1,3,0,1,10,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
46.01,3,20,1,11,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
75.46,3,40,1,12,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
43.53,4,0,1,13,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
60.94,4,20,1,14,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
47.32,4,40,1,15,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
46.97,5,20,1,17,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
48.02,5,40,1,18,1013.5,354.0,2.6,23.9,58.0,0.0,70.87979294407583,1
93.19,6,20,1,20,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
52.35,6,40,1,21,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
62.0,7,0,1,22,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
57.02,7,20,1,23,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
64.3,7,40,1,24,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
58.94,8,0,1,25,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
70.15,8,20,1,26,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
77.05,8,40,1,27,1012.2,7.0,4.6,26.9,43.0,0.0,68.00156924419889,1
83.06,9,0,1,28,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
70.83,9,20,1,29,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
85.52,9,40,1,30,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
67.88,10,0,1,31,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
50.28,10,20,1,32,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
83.3,10,40,1,33,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
74.32,11,0,1,34,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
78.34,11,20,1,35,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
70.58,11,40,1,36,1012.6,11.0,4.5,25.4,42.0,0.0,65.50360610612246,1
70.95,12,0,1,37,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
75.39,12,20,1,38,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
67.45,12,40,1,39,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
111.44,13,0,1,40,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
82.26,13,20,1,41,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
65.18,13,40,1,42,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
60.19,14,0,1,43,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
51.95,14,20,1,44,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
87.83,14,40,1,45,1013.7,25.0,1.7,22.1,53.0,0.0,69.86847638951966,1
57.14,15,0,1,46,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
72.09,15,20,1,47,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
69.3,15,40,1,48,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
74.42,16,0,1,49,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
93.9,16,20,1,50,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
70.52,16,40,1,51,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
65.65,17,0,1,52,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
59.27,17,20,1,53,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
60.11,17,40,1,54,1014.0,326.0,2.2,20.5,65.0,0.0,66.69410224489796,1
77.01,18,0,1,55,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
64.21,18,20,1,56,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
62.39,18,40,1,57,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
61.81,19,0,1,58,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
41.63,19,20,1,59,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
90.0,19,40,1,60,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
54.54,20,0,1,61,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
59.38,20,20,1,62,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
52.5,20,40,1,63,1013.8,327.0,1.4,19.4,74.0,0.0,68.1735901,1
100.59,21,0,1,64,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
66.05,21,20,1,65,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
53.0,21,40,1,66,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
38.5,22,0,1,67,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
48.31,22,20,1,68,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
41.51,22,40,1,69,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
61.71,23,0,1,70,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
55.76,23,20,1,71,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
46.09,23,40,1,72,1014.1,330.0,1.0,18.6,80.0,0.0,68.56701624242424,1
57.16,0,0,2,1,1015.5,219.0,0.7,21.7,69.0,0.0,74.1858907141631,1
38.55,0,20,2,2,1015.5,219.0,0.7,21.7,69.0,0.0,74.1858907141631,1
