avg_travel_time,is_true,route,intersection_id,tollgate_id,time_window,start_time,date,month,day,weekday,holiday,time,hour,minute,timemap,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,last_20min_A2,last_20min_A3,last_20min_B1,last_20min_B3,last_20min_C1,last_20min_C3,last_20min_V10,last_20min_V11,last_20min_V20,last_20min_V30,last_20min_V31
100.19,True,A-2,A,2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",2016-09-19 00:00:00,2016-09-19,9,19,0,0,00:00:00,0,0,1,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,100.19,100.19,126.35,85.37574768066406,76.13,153.53176879882812,151.44,13.0,104.09170532226562,2.0,17.0,117.86592102050781
52.63,True,A-2,A,2,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",2016-09-19 00:20:00,2016-09-19,9,19,0,0,00:20:00,0,20,2,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,100.19,100.19,126.35,85.37574768066406,76.13,153.53176879882812,151.44,13.0,104.09170532226562,2.0,17.0,117.86592102050781
54.99882125854492,False,A-2,A,2,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",2016-09-19 00:40:00,2016-09-19,9,19,0,0,00:40:00,0,40,3,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,52.63,52.63,86.15,85.37574768066406,73.7817611694336,153.53176879882812,163.17710876464844,6.0,56.0,1.6207540035247803,16.0,112.0
54.99882125854492,False,A-2,A,2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",2016-09-19 01:00:00,2016-09-19,9,19,0,0,01:00:00,1,0,4,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,54.99882125854492,54.99882125854492,98.05107116699219,89.92919158935547,132.89,153.53176879882812,163.78,9.0,31.0,1.7073432207107544,16.0,93.0
45.61,True,A-2,A,2,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",2016-09-19 01:20:00,2016-09-19,9,19,0,0,01:20:00,1,20,5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,54.99882125854492,54.99882125854492,86.11,97.8,63.75,154.58763122558594,166.0045166015625,10.0,4.0,1.0,17.0,4.0
54.99882125854492,False,A-2,A,2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",2016-09-19 01:40:00,2016-09-19,9,19,0,0,01:40:00,1,40,6,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,45.61,45.61,63.82,73.6,49.95,153.07693481445312,153.11,14.0,14.0,1.610919713973999,17.0,5.0
47.98,True,A-2,A,2,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",2016-09-19 02:00:00,2016-09-19,9,19,0,0,02:00:00,2,0,7,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,54.99882125854492,54.99882125854492,205.81,86.79861450195312,69.8423080444336,153.07693481445312,164.1598663330078,10.0,7.0,2.0,11.0,4.0
135.99,True,A-2,A,2,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",2016-09-19 02:20:00,2016-09-19,9,19,0,0,02:20:00,2,20,8,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,47.98,47.98,168.86,86.79861450195312,57.48,153.07693481445312,144.39,7.0,7.0,1.6780099868774414,11.0,5.0
60.45,True,A-2,A,2,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",2016-09-19 02:40:00,2016-09-19,9,19,0,0,02:40:00,2,40,9,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,135.99,135.99,102.50106811523438,86.79861450195312,71.54242706298828,155.6826171875,241.98,10.0,7.0,1.5984420776367188,14.0,4.0
43.39,True,A-2,A,2,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",2016-09-19 03:00:00,2016-09-19,9,19,0,0,03:00:00,3,0,10,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,60.45,60.45,95.96,86.79861450195312,71.54242706298828,155.6826171875,164.1598663330078,6.0,10.0,1.5984420776367188,18.0,4.915793418884277
41.66,True,A-2,A,2,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",2016-09-19 03:20:00,2016-09-19,9,19,0,0,03:20:00,3,20,11,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,43.39,43.39,103.87937927246094,89.871826171875,69.75608825683594,152.57449340820312,169.2119140625,9.0,10.0,3.0479047298431396,10.0,5.0
47.5,True,A-2,A,2,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",2016-09-19 03:40:00,2016-09-19,9,19,0,0,03:40:00,3,40,12,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,41.66,41.66,103.87937927246094,89.871826171875,69.75608825683594,152.57449340820312,169.2119140625,4.0,14.0,3.0479047298431396,10.0,3.0
67.16,True,A-2,A,2,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",2016-09-19 04:00:00,2016-09-19,9,19,0,0,04:00:00,4,0,13,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,47.5,47.5,103.87937927246094,89.871826171875,69.86503601074219,152.57449340820312,161.0350341796875,9.0,20.0,3.0479047298431396,9.0,10.0
89.31,True,A-2,A,2,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",2016-09-19 04:20:00,2016-09-19,9,19,0,0,04:20:00,4,20,14,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,67.16,67.16,104.40471649169922,118.81,64.33,152.57449340820312,161.0350341796875,10.0,18.0,3.0479047298431396,11.0,4.0
