tollgate_id,time_window,direction,volume,start_time,pair,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,date,weekday,time,hour,minute,last_20min,last_40min,last_60min,last_80min,last_100min,last_120min,timemap
1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,2016-09-19 00:00:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,00:00:00,0,0,13.0,13.0,13.0,13.0,13.0,13.0,1
1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,2016-09-19 00:20:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,00:20:00,0,20,13.0,13.0,13.0,13.0,13.0,13.0,2
1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,2016-09-19 00:40:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,00:40:00,0,40,6.0,13.0,13.0,13.0,13.0,13.0,3
1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,2016-09-19 01:00:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,01:00:00,1,0,9.0,6.0,13.0,13.0,13.0,13.0,4
1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,2016-09-19 01:20:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,01:20:00,1,20,10.0,9.0,6.0,13.0,13.0,13.0,5
1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10,2016-09-19 01:40:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,01:40:00,1,40,14.0,10.0,9.0,6.0,13.0,13.0,6
1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,7,2016-09-19 02:00:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,02:00:00,2,0,10.0,14.0,10.0,9.0,6.0,13.0,7
1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,10,2016-09-19 02:20:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,02:20:00,2,20,7.0,10.0,14.0,10.0,9.0,6.0,8
1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,6,2016-09-19 02:40:00,1-0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2016-09-19,0,02:40:00,2,40,10.0,7.0,10.0,14.0,10.0,9.0,9
1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,9,2016-09-19 03:00:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,03:00:00,3,0,6.0,10.0,7.0,10.0,14.0,10.0,10
1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,4,2016-09-19 03:20:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,03:20:00,3,20,9.0,6.0,10.0,7.0,10.0,14.0,11
1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,2016-09-19 03:40:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,03:40:00,3,40,4.0,9.0,6.0,10.0,7.0,10.0,12
1,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0,10,2016-09-19 04:00:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,04:00:00,4,0,9.0,4.0,9.0,6.0,10.0,7.0,13
1,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0,13,2016-09-19 04:20:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,04:20:00,4,20,10.0,9.0,4.0,9.0,6.0,10.0,14
1,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0,12,2016-09-19 04:40:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,04:40:00,4,40,13.0,10.0,9.0,4.0,9.0,6.0,15
1,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,2,2016-09-19 05:00:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,05:00:00,5,0,12.0,13.0,10.0,9.0,4.0,9.0,16
1,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,8,2016-09-19 05:20:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,05:20:00,5,20,2.0,12.0,13.0,10.0,9.0,4.0,17
1,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,13,2016-09-19 05:40:00,1-0,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,2016-09-19,0,05:40:00,5,40,8.0,2.0,12.0,13.0,10.0,9.0,18
1,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,8,2016-09-19 06:00:00,1-0,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,2016-09-19,0,06:00:00,6,0,13.0,8.0,2.0,12.0,13.0,10.0,19
1,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,13,2016-09-19 06:20:00,1-0,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,2016-09-19,0,06:20:00,6,20,8.0,13.0,8.0,2.0,12.0,13.0,20
1,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,32,2016-09-19 06:40:00,1-0,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,2016-09-19,0,06:40:00,6,40,13.0,8.0,13.0,8.0,2.0,12.0,21
1,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,39,2016-09-19 07:00:00,1-0,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,2016-09-19,0,07:00:00,7,0,32.0,13.0,8.0,13.0,8.0,2.0,22
