avg_travel_time,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
108.86,0,0,1,1,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,160.94,63.98836985439331,1
84.52,1,20,1,5,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,91.78,63.98836985439331,1
109.76,1,40,1,6,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,84.52,63.98836985439331,1
73.63,2,0,1,7,1013.2,341.0,341.0,3.5,21.1,68.0,0.0,109.76,63.98836985439331,1
38.46,3,20,1,11,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,87.64,70.87979294407583,1
80.79,4,20,1,14,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,101.15,70.87979294407583,1
90.52,5,20,1,17,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,101.1,70.87979294407583,1
112.16,5,40,1,18,1013.5,354.0,354.0,2.6,23.9,58.0,0.0,90.52,70.87979294407583,1
97.82,6,0,1,19,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,112.16,68.00156924419889,1
122.85,6,20,1,20,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,97.82,68.00156924419889,1
109.83,6,40,1,21,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,122.85,68.00156924419889,1
113.62,7,0,1,22,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,109.83,68.00156924419889,1
136.34,7,20,1,23,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,113.62,68.00156924419889,1
102.66,7,40,1,24,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,136.34,68.00156924419889,1
120.8,8,0,1,25,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,102.66,68.00156924419889,1
115.92,8,20,1,26,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,120.8,68.00156924419889,1
116.32,8,40,1,27,1012.2,7.0,7.0,4.6,26.9,43.0,0.0,115.92,68.00156924419889,1
127.25,9,0,1,28,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,116.32,65.50360610612246,1
131.14,9,20,1,29,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,127.25,65.50360610612246,1
118.32,9,40,1,30,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,131.14,65.50360610612246,1
101.54,10,0,1,31,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,118.32,65.50360610612246,1
115.24,10,20,1,32,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,101.54,65.50360610612246,1
107.56,10,40,1,33,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,115.24,65.50360610612246,1
101.13,11,0,1,34,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,107.56,65.50360610612246,1
124.9,11,20,1,35,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,101.13,65.50360610612246,1
113.59,11,40,1,36,1012.6,11.0,11.0,4.5,25.4,42.0,0.0,124.9,65.50360610612246,1
120.57,12,0,1,37,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,113.59,69.86847638951966,1
97.93,12,20,1,38,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,120.57,69.86847638951966,1
108.88,12,40,1,39,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,97.93,69.86847638951966,1
111.58,13,0,1,40,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,108.88,69.86847638951966,1
123.58,13,20,1,41,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,111.58,69.86847638951966,1
89.68,13,40,1,42,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,123.58,69.86847638951966,1
126.55,14,0,1,43,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,89.68,69.86847638951966,1
108.0,14,20,1,44,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,126.55,69.86847638951966,1
109.29,14,40,1,45,1013.7,25.0,25.0,1.7,22.1,53.0,0.0,108.0,69.86847638951966,1
114.9,15,0,1,46,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,109.29,66.69410224489796,1
106.02,15,20,1,47,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,114.9,66.69410224489796,1
104.59,15,40,1,48,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,106.02,66.69410224489796,1
117.14,16,0,1,49,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,104.59,66.69410224489796,1
90.92,16,20,1,50,1014.0,326.0,326.0,2.2,20.5,65.0,0.0,117.14,66.69410224489796,1
