volume,hour,minute,weekday,timemap,pressure,wind_direction,wind_direction,wind_speed,temperature,rel_humidity,precipitation,last_20min,SSD,is_workday
15,0,0,5,1,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,50.0,61.35155810000001,2
10,0,20,5,2,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,15.0,61.35155810000001,2
6,0,40,5,3,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,10.0,61.35155810000001,2
4,1,0,5,4,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,6.0,61.35155810000001,2
9,1,20,5,5,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,4.0,61.35155810000001,2
3,1,40,5,6,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,9.0,61.35155810000001,2
7,2,0,5,7,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,3.0,61.35155810000001,2
7,2,20,5,8,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,7.0,61.35155810000001,2
6,2,40,5,9,1010.6,2.0,2.0,4.2,19.4,94.0,1.0,7.0,61.35155810000001,2
5,3,0,5,10,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,6.0,57.525302589473675,2
3,3,20,5,11,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,5.0,57.525302589473675,2
5,3,40,5,12,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,3.0,57.525302589473675,2
5,4,0,5,13,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,5.0,57.525302589473675,2
13,4,20,5,14,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,5.0,57.525302589473675,2
9,4,40,5,15,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,13.0,57.525302589473675,2
2,5,0,5,16,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,9.0,57.525302589473675,2
2,5,20,5,17,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,2.0,57.525302589473675,2
7,5,40,5,18,1011.0,5.0,5.0,5.5,20.3,81.0,0.0,2.0,57.525302589473675,2
9,6,0,5,19,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,7.0,66.00607278951965,2
12,6,20,5,20,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,9.0,66.00607278951965,2
19,6,40,5,21,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,12.0,66.00607278951965,2
21,7,0,5,22,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,19.0,66.00607278951965,2
36,7,20,5,23,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,21.0,66.00607278951965,2
27,7,40,5,24,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,36.0,66.00607278951965,2
31,8,0,5,25,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,27.0,66.00607278951965,2
39,8,20,5,26,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,31.0,66.00607278951965,2
38,8,40,5,27,1010.1,17.0,17.0,3.6,22.1,72.0,0.0,39.0,66.00607278951965,2
35,9,0,5,28,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,38.0,65.15757224489796,2
31,9,20,5,29,1011.1,357.0,357.0,3.2,20.5,80.0,0.0,35.0,65.15757224489796,2
